Month,MonthlyMeanTemperature,MonthlySeaLevelPressure,MonthlyStationPressure,MonthlyWetBulb,MonthlyDepartureFromNormalAverageTemperature,MonthlyMaximumTemperature,MonthlyMinimumTemperature
1,36.41935483870968,,,,2.519354838709677,50.58064516129032,21.741935483870968
2,39.392857142857146,,,,2.392857142857143,57.42857142857143,20.821428571428573
3,45.166666666666664,,,,0.6533333333333331,60.333333333333336,29.7
4,55.3,,,,2.05,72.3,37.8
5,66.45161290322581,,,,2.9161290322580644,78.80645161290323,53.38709677419355
6,70.56666666666666,,,,-2.93,82.5,58.13333333333333
7,78.54838709677419,,,,0.06129032258064517,92.16129032258064,64.51612903225806
8,79.80645161290323,,,,2.606451612903226,96.35483870967742,62.774193548387096
9,74.2,,,,5.066666666666666,90.03333333333333,57.733333333333334
10,58.45161290322581,,,,1.6645161290322579,75.06451612903226,41.29032258064516
11,47.6,,,,2.966666666666667,63.766666666666666,30.766666666666666
12,41.12903225806452,,,,7.319354838709677,55.0,26.612903225806452
